基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
021539,华安法国CAC40ETF发起式联接(QDII)A,指数型-海外股票,HAFGCAC40ETFFQSLJQDIIA,HUAANFAGUOCAC40ETFFAQISHILIANJIEQDIIA,
021540,华安法国CAC40ETF发起式联接(QDII)C,指数型-海外股票,HAFGCAC40ETFFQSLJQDIIC,HUAANFAGUOCAC40ETFFAQISHILIANJIEQDIIC,
021541,建信社会责任混合C,混合型-偏股,JXSHZRHHC,JIANXINSHEHUIZERENHUNHEC,
021542,国投瑞银信息消费混合C,混合型-灵活,GTRYXXXFHHC,GUOTOURUIYINXINXIXIAOFEIHUNHEC,
021543,国投瑞银招财混合C,混合型-灵活,GTRYZCHHC,GUOTOURUIYINZHAOCAIHUNHEC,
021544,博远增汇纯债债券A,债券型-长债,BYZHCZZQA,BOYUANZENGHUICHUNZHAIZHAIQUANA,
021545,博远增汇纯债债券C,债券型-长债,BYZHCZZQC,BOYUANZENGHUICHUNZHAIZHAIQUANC,
021546,国投瑞银创新医疗混合C,混合型-灵活,GTRYCXYLHHC,GUOTOURUIYINCHUANGXINYILIAOHUNHEC,
021548,富国稳健双鑫债券A,债券型-混合二级,FGWJSXZQA,FUGUOWENJIANSHUANGXINZHAIQUANA,
021549,富国稳健双鑫债券C,债券型-混合二级,FGWJSXZQC,FUGUOWENJIANSHUANGXINZHAIQUANC,
021550,博时中证红利低波动100ETF联接A,指数型-股票,BSZZHLDBD100ETFLJA,BOSHIZHONGZHENGHONGLIDIBODONG100ETFLIANJIEA,
021551,博时中证红利低波动100ETF联接C,指数型-股票,BSZZHLDBD100ETFLJC,BOSHIZHONGZHENGHONGLIDIBODONG100ETFLIANJIEC,
021552,广发景裕纯债A,债券型-长债,GFJYCZA,GUANGFAJINGYUCHUNZHAIA,
021553,广发景裕纯债C,债券型-长债,GFJYCZC,GUANGFAJINGYUCHUNZHAIC,
021554,兴业恒悦180天持有期债券A,债券型-混合二级,XYHY180TCYQZQA,XINGYEHENGYUE180TIANCHIYOUQIZHAIQUANA,
021555,兴业恒悦180天持有期债券C,债券型-混合二级,XYHY180TCYQZQC,XINGYEHENGYUE180TIANCHIYOUQIZHAIQUANC,
021556,长盛中证证券公司指数(LOF)C,指数型-股票,CSZZZQGSZSLOFC,CHANGSHENGZHONGZHENGZHENGQUANGONGSIZHISHULOFC,
021558,工银现代服务业混合C,混合型-灵活,GYXDFWYHHC,GONGYINXIANDAIFUWUYEHUNHEC,
