基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
019114,东财慧心优选混合发起式C,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,8.95%,1,3
019114,东财慧心优选混合发起式C,混合型-偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,7.70%,1,9
019115,东财卓越成长混合发起式A,混合型-偏股,03896,金山云,广义离岸中国AI,中国离岸云计算,9.59%,1,3
019116,东财卓越成长混合发起式C,混合型-偏股,03896,金山云,广义离岸中国AI,中国离岸云计算,9.59%,1,3
019130,天弘多元锐选一年持有混合A,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.17%,1,7
019131,天弘多元锐选一年持有混合C,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.17%,1,7
019132,广发积极回报3个月持有混合(FOF)A,FOF-进取型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.69%,1,1
019133,广发积极回报3个月持有混合(FOF)C,FOF-进取型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.69%,1,1
019136,交银启合混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.83%,1,6
019137,交银启合混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.83%,1,6
019153,中欧锐意成长混合发起A,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.95%,1,1
019153,中欧锐意成长混合发起A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.83%,1,2
019154,中欧锐意成长混合发起C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.95%,1,1
019154,中欧锐意成长混合发起C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.83%,1,2
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,LITE,Lumentum Holdings Inc,扩展海外AI,光通信器件,5.67%,1,2
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,3.16%,1,8
